Sentence,File_Name,Parse_Tree,Processed_Tree,Chunks,Highlight
"Despite highly promising characteristics of three-dimensionally nanostructured catalysts for the oxygen evolution reaction in polymer electrolyte membrane water electrolyzers , universal design rules for maximizing their performance have not been explored.",cleaned_Fulltext_Highly efficient.txt,"(ROOT (S (PP (IN Despite) (NP (NP (ADJP (RB highly) (JJ promising)) (NNS characteristics)) (PP (IN of) (NP (NP (ADJP (CD three) (HYPH -) (RB dimensionally)) (VBN nanostructured) (NNS catalysts)) (PP (IN for) (NP (NP (DT the) (NML (NN oxygen) (NN evolution)) (NN reaction)) (PP (IN in) (NP (NML (NML (NN polymer) (NN electrolyte)) (NN membrane) (NN water)) (NNS electrolyzers))))))))) (, ,) (NP (NP (JJ universal) (NN design) (NNS rules)) (PP (IN for) (S (VP (VBG maximizing) (NP (PRP$ their) (NN performance)))))) (VP (VBP have) (RB not) (VP (VBN been) (VP (VBN explored)))) (. .)))","(S (PP (IN Despite) (NP (NP (ADJP (RB highly) (JJ promising)) (NNS characteristics)) (PP (IN of) (NP (NP (ADJP (CD three) (HYPH -) (RB dimensionally)) (VBN nanostructured) (NNS catalysts)) (PP (IN for) (NP (NP (DT the) (NML (NN oxygen) (NN evolution)) (NN reaction)) (PP (IN in) (NP (NML (NML (NN polymer) (NN electrolyte)) (NN membrane) (NN water)) (NNS electrolyzers))))))))) (, ,) (NP (NP (JJ universal) (NN design) (NNS rules)) (PP (IN for) ","Despite highly promising characteristics of three-dimensionally nanostructured catalysts for the  oxygen evolution reaction in  polymer electrolyte membrane water electrolyzers,universal design rules for",0
"Here we show that woodpile -structured Ir, consisting of 3D-printed, highly- ordered",cleaned_Fulltext_Highly efficient.txt,"(ROOT (S (ADVP (RB Here)) (NP (PRP we)) (VP (VBP show) (SBAR (DT that) (NP (NP (ADJP (NN woodpile) (HYPH -) (VBN structured)) (NN Ir)) (, ,) (VP (VBG consisting) (PP (IN of) (NP (ADJP (NN 3D) (HYPH -) (VBN printed)) (, ,) (ADJP (RB highly) (HYPH -) (VBN ordered))))))))))","(S (ADVP (RB Here)) (NP (PRP we)) (VP (VBP show) (SBAR (DT that) (NP (NP (ADJP (NN woodpile) (HYPH -) (VBN structured)) (NN Ir)) (, ,) (VP (VBG consisting) (PP (IN of) (NP (ADJP (NN 3D) (HYPH -) (VBN printed)) (, ,) (ADJP (RB highly) (HYPH -) (VBN ordered))))))))))","Here we show that woodpile-structured Ir,consisting of 3D-printed,highly-ordered",1
"Ir nanowire building blocks, improve OER mass activity markedly.",cleaned_Fulltext_Highly efficient.txt,"(ROOT (S (NP (JJ Ir) (NML (NN nanowire) (NN building)) (NNS blocks)) (, ,) (VP (VB improve) (NP (NN OER) (NN mass) (NN activity)) (ADVP (RB markedly))) (. .)))","(S (NP (JJ Ir) (NML (NN nanowire) (NN building)) (NNS blocks)) (, ,) (VP (VB improve) (NP (NN OER) (NN mass) (NN activity)) (ADVP (RB markedly))) (. .)))","Ir  nanowire building blocks,improve OER mass activity markedly.",1
The WP structure secures the electrochemically active surface area through enhanced utilization ef?,cleaned_Fulltext_Highly efficient.txt,(ROOT (S (NP (DT The) (NNP WP) (NN structure)) (VP (VBZ secures) (NP (DT the) (ADJP (RB electrochemically) (JJ active)) (NN surface) (NN area)) (PP (IN through) (NP (VBN enhanced) (NN utilization) (NN ef)))) (. ?))),(S (NP (DT The) (NNP WP) (NN structure)) (VP (VBZ secures) (NP (DT the) (ADJP (RB electrochemically) (JJ active)) (NN surface) (NN area)) (PP (IN through) (NP (VBN enhanced) (NN utilization) (NN ef)))) (. ?))),The structure secures the electrochemically active surface area through enhanced utilization ef.?,1
ciency of the extended surface area of 3D WP catalysts.,cleaned_Fulltext_Highly efficient.txt,(ROOT (NP (NP (NN ciency)) (PP (IN of) (NP (NP (DT the) (JJ extended) (NN surface) (NN area)) (PP (IN of) (NP (NNP 3D) (NN WP) (NNS catalysts))))) (. .))),(ROOT (NP (NP (NN ciency)) (PP (IN of) (NP (NP (DT the) (JJ extended) (NN surface) (NN area)) (PP (IN of) (NP (NNP 3D) (NN WP) (NNS catalysts))))) (. .))),ciency of the extended surface area of 3D catalysts.,1
"Moreover, systematic control of the 3D geometry combined with theoretical calculations and various electrochemical analyses reveals that facile transport of evolved O2 gas bubbles is an important contributor to the improved ECSA-speci?c activity.",cleaned_Fulltext_Highly efficient.txt,"(ROOT (S (ADVP (RB Moreover)) (, ,) (NP (NP (JJ systematic) (NN control)) (PP (IN of) (NP (NP (DT the) (NN 3D) (NN geometry)) (VP (VBN combined) (PP (IN with) (NP (NP (JJ theoretical) (NNS calculations)) (CC and) (NP (JJ various) (JJ electrochemical) (NNS analyses)))))))) (VP (VBZ reveals) (SBAR (IN that) (S (NP (NP (JJ facile) (NN transport)) (PP (IN of) (NP (VBN evolved) (NML (NNP O2) (NN gas)) (NNS bubbles)))) (VP (VBZ is) (NP (NP (DT an) (JJ important) (NN contributor)) (PP (IN to) (NP (DT the) (VBN improved) (NML (NN ECSA) (HYPH -) (NN speci?c)) (NN activity)))))))) (. .)))","(S (ADVP (RB Moreover)) (, ,) (NP (NP (JJ systematic) (NN control)) (PP (IN of) (NP (NP (DT the) (NN 3D) (NN geometry)) (VP (VBN combined) (PP (IN with) (NP (NP (JJ theoretical) (NNS calculations)) (CC and) (NP (JJ various) (JJ electrochemical) (NNS analyses)))))))) (VP (VBZ reveals) (SBAR (IN that) ","Moreover,systematic control of the 3D geometry combined with theoretical calculations and various electrochemical analyses reveals that",1
The 3D nanostructuring-based improvement of ECSA and ECSA-speci?c activity enables our well-controlled geometry to afford a 30-fold higher mass activity of the OER catalyst when used in a single-cell PEMWE than conventional nanoparticle-based catalysts.,cleaned_Fulltext_Highly efficient.txt,(ROOT (S (NP (DT The) (NML (NP (NNP 3D) (ADJP (NN nanostructuring) (HYPH -) (VBN based)) (NN improvement)) (PP (IN of) (NP (NML (NML (NN ECSA)) (CC and) (NML (NN ECSA) (HYPH -) (NN speci?c))) (NN activity))))) (VP (VBZ enables) (NP (PRP$ our) (ADJP (RB well) (HYPH -) (VBN controlled)) (NN geometry)) (S (VP (TO to) (VP (VB afford) (NP (NP (NP (NP (DT a) (NML (CD 30) (HYPH -) (NN fold)) (JJR higher) (NN mass) (NN activity)) (PP (IN of) (NP (DT the) (NN OER) (NN catalyst)))) (SBAR (WHADVP (WRB when)) (S (VP (VBN used) (PP (IN in) (NP (DT a) (NML (JJ single) (HYPH -) (NN cell)) (NN PEMWE))))))) (PP (IN than) (NP (JJ conventional) (ADJP (NN nanoparticle) (HYPH -) (VBN based)) (NNS catalysts)))))))) (. .))),(S (NP (DT The) (NML (NP (NNP 3D) (ADJP (NN nanostructuring) (HYPH -) (VBN based)) (NN improvement)) (PP (IN of) (NP (NML (NML (NN ECSA)) (CC and) (NML (NN ECSA) (HYPH -) (NN speci?c))) (NN activity))))) (VP (VBZ enables) (NP (PRP$ our) (ADJP (RB well) (HYPH -) (VBN controlled)) (NN geometry)),The  3D nanostructuring-based improvement of  ECA and  ECA-speci?c activity enables our well-controlled geometry,1
"Water electrolysis is a promising method to produce H2, a clean energy source, potentially serving as a central technology in the H2-based renewable energy cycle.",cleaned_Fulltext_Highly efficient.txt,"(ROOT (S (NP (NN Water) (NN electrolysis)) (VP (VBZ is) (NP (NP (DT a) (JJ promising) (NN method)) (SBAR (S (VP (TO to) (VP (VB produce) (NP (NP (NN H2)) (, ,) (NP (DT a) (NML (JJ clean) (NN energy)) (NN source))) (, ,) (VP (ADVP (RB potentially)) (VBG serving) (PP (IN as) (NP (NP (DT a) (JJ central) (NN technology)) (PP (IN in) (NP (DT the) (ADJP (NN H2) (HYPH -) (VBN based)) (NML (JJ renewable) (NN energy)) (NN cycle)))))))))))) (. .)))",(S (NP (NN Water) (NN electrolysis)) (VP (VBZ is) (NP (NP (DT a) (JJ promising) (NN method)) (SBAR,Water electrolysis is a promising method,1
"In particular, polymer electrolyte membrane water electrolyzers are attracting strong interest due to their compact- ness, superior energy ef?",cleaned_Fulltext_Highly efficient.txt,"(ROOT (S (PP (IN In) (ADJP (JJ particular))) (, ,) (NP (NML (NML (NN polymer) (NN electrolyte)) (NN membrane) (NN water)) (NNS electrolyzers)) (VP (VBP are) (VP (VBG attracting) (NP (NP (JJ strong) (NN interest)) (PP (IN due) (IN to) (NP (PRP$ their) (NML (JJ compact) (HYPH -) (NN ness)) (, ,) (NML (JJ superior) (NN energy)) (NN ef)))))) (. ?)))","(S (PP (IN In) (ADJP (JJ particular))) (, ,) (NP (NML (NML (NN polymer) (NN electrolyte)) (NN membrane) (NN water)) (NNS electrolyzers)) (VP (VBP are) (VP (VBG attracting) (NP (NP (JJ strong) (NN interest)) (PP (IN due) (IN to) (NP (PRP$ their) (NML (JJ compact) (HYPH -) (NN ness)) (, ,) (NML (JJ superior) (NN energy)) (NN ef)))))) (. ?)))","In particular, polymer electrolyte membrane water electrolyzers are attracting strong interest due to their  compact-ness, superior energy ef.?",1
"ciency, excellent purity of produced hydrogen, and high production rate.",cleaned_Fulltext_Highly efficient.txt,"(ROOT (NP (NP (NN ciency)) (, ,) (NP (NP (JJ excellent) (NN purity)) (PP (IN of) (NP (VBN produced) (NN hydrogen)))) (, ,) (CC and) (NP (JJ high) (NN production) (NN rate)) (. .)))","(ROOT (NP (NP (NN ciency)) (, ,) (NP (NP (JJ excellent) (NN purity)) (PP (IN of) (NP (VBN produced) (NN hydrogen)))) (, ,) (CC and) (NP (JJ high) (NN production) (NN rate)) (. .)))","ciency,excellent purity of produced hydrogen,and high production rate.",1
