,Paragraph,Chunk,File_name,n_chunks
0,"Fast fashion, inexpensive and widely available of-the-moment garments, has changed the way people buy and dispose of clothing. By selling large quantities of clothing at cheap prices, fast fashion has emerged as a dominant business model, causing garment consumption to skyrocket. While this transition is sometimes heralded as the “democratization” of fashion in which the latest styles are available to all classes of consumers, the human and environmental health risks associated with inexpensive clothing are hidden throughout the lifecycle of each garment. From the growth of water-intensive cotton, to the release of untreated dyes into local water sources, to worker’s low wages and poor working conditions; the environmental and social costs involved in textile manufacturing are widespread.","Fast fashion, inexpensive and widely available of-the-moment garments, has changed the way people buy and dispose of clothing. 
 By selling large quantities of clothing at cheap prices, fast fashion has emerged as a dominant business model, causing garment consumption to skyrocket. 
 the human and environmental health risks associated with inexpensive clothing are hidden throughout the lifecycle of each garment. 
 From the growth of water-intensive cotton, to the release of untreated dyes into local water sources, to worker’s low wages and poor working conditions; the environmental and social costs involved in textile manufacturing are widespread. 
",The global environmental injustice of fast fashion,4
1,"In this paper, we posit that negative externalities at each step of the fast fashion supply chain have created a global environmental justice dilemma. While fast fashion offers consumers an opportunity to buy more clothes for less, those who work in or live near textile manufacturing facilities bear a disproportionate burden of environmental health hazards. Furthermore, increased consumption patterns have also created millions of tons of textile waste in landfills and unregulated settings. This is particularly applicable to low and middle-income countries (LMICs) as much of this waste ends up in second-hand clothing markets. These LMICs often lack the supports and resources necessary to develop and enforce environmental and occupational safeguards to protect human health. We discuss the role of industry, policymakers, consumers, and scientists in promoting sustainable production and ethical consumption in an equitable manner.","In this paper, we posit that negative externalities at each step of the fast fashion supply chain have created a global environmental justice dilemma. 
 those who work in or live near textile manufacturing facilities bear a disproportionate burden of environmental health hazards. 
 increased consumption patterns have also created millions of tons of textile waste in landfills and unregulated settings. 
 much of this waste ends up in second-hand clothing markets. 
",The global environmental injustice of fast fashion,4
2,"Fast fashion is a term used to describe the readily avail- able, inexpensively made fashion of today. The word “fast” describes how quickly retailers can move designs from the catwalk to stores, keeping pace with constant demand for more and different styles. With the rise of globalization and growth of a global economy, supply chains have become international, shifting the growth of fibers, the manufacturing of textiles, and the construction of garments to areas with cheaper labor. Increased consumption drives the production of inexpensive clothing, and prices are kept down by outsourcing production to low and middle-income countries (LMICs).","Fast fashion is a term used to describe the readily avail- able, inexpensively made fashion of today. 
 The word “fast” describes how quickly retailers can move designs from the catwalk to stores, keeping pace with constant demand for more and different styles. 
 Increased consumption drives the production of inexpensive clothing, and prices are kept down by outsourcing production to low and middle-income countries (LMICs). 
",The global environmental injustice of fast fashion,3
3,"Globally, 80 billion pieces of new clothing are purchased each year, translating to $1.2 trillion annually for the global fashion industry. The majority of these products are assembled in China and Bangladesh while the United States consumes more clothing and textiles than any other nation in the world [1]. Approximately 85% of the clothing Americans consume, nearly 3.8 billion pounds annually, is sent to landfills as solid waste, amounting to nearly 80 pounds per American per year [2, 3].","Globally, 80 billion pieces of new clothing are purchased each year, translating to $1.2 trillion annually for the global fashion industry. 
 Approximately 85% of the clothing Americans consume, nearly 3.8 billion pounds annually, is sent to landfills as solid waste, amounting to nearly 80 pounds per American per year 
",The global environmental injustice of fast fashion,2
4,"The global health costs associated with the production of cheap clothing are substantial. While industrial disasters such as the 1911 Triangle Shirtwaist Factory fire have led to improved occupational protections and work standards in the United States, the same cannot be said for LMICs. The hazardous working conditions that attracted regulatory attention in the United States and European Union have not been eliminated, but merely shifted overseas. The social costs associated with the global textile and garment industry are significant as well. Defined as “all direct and indirect losses sustained by third persons or the general public as a result of unrestrained economic activities,” the social costs involved in the production of fast fashion include damages to the environment, human health, and human rights at each step along the production chain [4].","The hazardous working conditions that attracted regulatory attention in the United States and European Union have not been eliminated, but merely shifted overseas. 
 The social costs associated with the global textile and garment industry are significant as well. 
 the social costs involved in the production of fast fashion include damages to the environment, human health, and human rights at each step along the production chain 
",The global environmental injustice of fast fashion,3
5,"Environmental justice is defined by the United States Environmental Protection Agency, as the “fair treatment and meaningful involvement of all people regardless of race, color national origin, or income, with respect to the development, implementation, and enforcement of environmental laws, regulations and policies” [5]. In the United States, this concept has primarily been used in the scientific literature and in practice to describe the disproportionate placement of superfund sites (hazardous waste sites) in or near communities of color. However, environmental justice, as it has been defined, is not limited to the United States and need not be constrained by geo- political boundaries. The textile and garment industries, for example, shift the environmental and occupational burdens associated with mass production and disposal from high income countries to the under-resourced (e.g. low income, low-wage workers, women) communities in LMICs. Extending the environmental justice framework to encompass the disproportionate impact experienced by those who produce and dispose of our clothing is essential to understanding the magnitude of global injustice perpetuated through the consumption of cheap clothing. In the context of Sustainable Development Goal (SDG) 12 which calls for sustainable consumption and production as part of national and sectoral plans, sustainable business practices, consumer behavior, and the reduction and elimination of fast fashion should all be a target of global environmental justice advocates.","environmental justice, as it has been defined, is not limited to the United States and need not be constrained by geo- political boundaries. 
 The textile and garment industries, for example, shift the environmental and occupational burdens associated with mass production and disposal from high income countries to the under-resourced 
 communities in LMICs. 
",The global environmental injustice of fast fashion,3
6,"The first step in the global textile supply chain is textile production, the process by which both natural and synthetic fibers are made. Approximately 90 % of clothing sold in the United States is made with cotton or polyester, both associated with significant health impacts from the manufacturing and production processes [6]. Polyester, a synthetic textile, is derived from oil, while cotton requires large amounts of water and pesticides to grow. Tex- tile dyeing results in additional hazards as untreated wastewater from dyes are often discharged into local water systems, releasing heavy metals and other toxicants that can adversely impact the health of animals in addition to nearby residents [6].","The first step in the global textile supply chain is textile production, the process by which both natural and synthetic fibers are made. 
 Approximately 90 % of clothing sold in the United States is made with cotton or polyester, both associated with significant health impacts from the manufacturing and production processes 
",The global environmental injustice of fast fashion,2
7,"Garment assembly, the next step in the global textile supply chain, employs 40 million workers around the world [7]. LMICs produce 90% of the world’s clothing. Occupational and safety standards in these LMICs are often not enforced due to poor political infrastructure and organizational management [8]. The result is a myriad of occupational hazards, including respiratory hazards due to poor ventilation such as cotton dust and synthetic air particulates, and musculoskeletal hazards from repetitive motion tasks. The health hazards that prompted the creation of textile labor unions in the United States and the United Kingdom in the early 1900’s have now shifted to work settings in LMICs. In LMICs, reported health outcomes include debilitating and life-threatening conditions such as lung disease and cancer, damage to endocrine function, adverse reproductive and fetal outcomes, accidental injuries, overuse injuries and death [9–11]. Periodic reports of international disasters, such as the 2013 Rana Plaza factory collapse which killed 1134 Bangladeshi workers, are stark reminders of the health hazards faced by garment workers. These disasters, however, have not demonstrably changed safety standards for workers in LMICs [12].","LMICs produce 90% of the world’s clothing. Occupational and safety standards in these LMICs are often not enforced due to poor political infrastructure and organizational management 
 The result is a myriad of occupational hazards, including respiratory hazards due to poor ventilation such as cotton dust and synthetic air particulates, and musculoskeletal hazards from repetitive motion tasks. 
",The global environmental injustice of fast fashion,2
8,"While getting finished garments to consumers in the high-income countries is seen as the end of the line for the fashion industry, environmental injustices continue long after the garment is sold. The fast fashion model encourages consumers to view clothing as disposable. In fact, the average American throws away approximately 80 pounds of clothing and textiles annually, occupying nearly 5% of landfill space [3]. Clothing not sent directly to the landfill often ends up in the second-hand clothing trade. Approximately 500,000 tons of used clothing are exported abroad from the United States each year, the majority ending up in LMICs [8]. In 2015, the United States exported more than $700 million worth of used clothing [13]. Second-hand clothing not sold in the United States market is compressed into 1000-pound bales and exported overseas to be “graded” (sorted, categorized and re-baled) by low-wage workers in LMICs and sold in second-hand markets. Clothing not sold in markets becomes solid waste, clogging rivers, greenways, and parks, and creating the potential for additional environmental health hazards in LMICs lacking robust municipal waste systems.","The fast fashion model encourages consumers to view clothing as disposable. 
  the average American throws away approximately 80 pounds of clothing and textiles annually, occupying nearly 5% of landfill space 
 Approximately 500,000 tons of used clothing are exported abroad from the United States each year, the majority ending up in LMICs 
 Clothing not sold in markets becomes solid waste, clogging rivers, greenways, and parks, and creating the potential for additional environmental health hazards in LMICs lacking robust municipal waste systems. 
",The global environmental injustice of fast fashionThe global environmental injustice of fast fashion,4
9,"Ensuring environmental justice at each stage in the global supply chain remains a challenge. Global environ- mental justice will be dependent upon innovations in textile development, corporate sustainability, trade pol- icy, and consumer habits.The sustainability of a fiber refers to the practices and policies that reduce environmental pollution and minimize the exploitation of people or natural resources in meeting lifestyle needs. Across the board, natural cellulosic and protein fibers are thought to be better for the environment and for human health, but in some cases manufactured fibers are thought to be more sustainable. Fabrics such as Lyocell, made from the cellulose of bamboo, are made in a closed loop production cycle in which 99% of the chemicals used to develop fabric fibers are recycled. The use of sustainable fibers will be key in minimizing the environ- mental impact of textile production.","
The sustainability of a fiber refers to the practices and policies that reduce environmental pollution and minimize the exploitation of people or natural resources in meeting lifestyle needs. 
 The use of sustainable fibers will be key in minimizing the environ- mental impact of textile production. 
",The global environmental injustice of fast fashion,3
